run_acc	sample_type	sample_subtype	organism	gold
SRR5511879	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0111716
SRR5517144	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0111720
SRR5517431	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0111719
SRR5574089	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0111721
SRR5574261	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0111723
SRR5574262	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0111724
SRR5574263	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0111725
SRR5576206	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0111722
SRR5578835	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0111717
SRR5578837	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0111718
SRR5579275	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0112763
SRR5579859	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112852
SRR5579862	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112853
SRR5579863	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112855
SRR5579864	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112854
SRR5579871	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112856
SRR5579872	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112857
SRR5579875	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112859
SRR5579883	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112860
SRR5579884	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112861
SRR5579885	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112862
SRR5581483	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0112863
SRR5581992	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116325
SRR5582001	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116329
SRR5582372	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116332
SRR5582390	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116333
SRR5582436	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116331
SRR5582993	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116334
SRR5583252	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116335
SRR5583254	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116335
SRR5584097	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116336
SRR5584873	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116337
SRR5585385	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116338
SRR5585387	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116339
SRR5585388	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116341
SRR5585435	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116342
SRR5585586	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116343
SRR5659263	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116213
SRR5660397	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116214
SRR5660398	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116214
SRR5664279	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116216
SRR5664280	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116215
SRR5665213	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116217
SRR5665254	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116218
SRR5665647	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116219
